"GEOID","NAME","variable","estimate","moe"
"12021","Collier County, Florida","B01003_001",398291,NA
"12023","Columbia County, Florida","B01003_001",71789,NA
"12027","DeSoto County, Florida","B01003_001",35386,NA
"12029","Dixie County, Florida","B01003_001",17058,NA
"12031","Duval County, Florida","B01003_001",1023153,NA
"12033","Escambia County, Florida","B01003_001",325923,NA
"12035","Flagler County, Florida","B01003_001",126528,NA
"12037","Franklin County, Florida","B01003_001",12553,NA
"12039","Gadsden County, Florida","B01003_001",43710,NA
"12041","Gilchrist County, Florida","B01003_001",19040,NA
"12043","Glades County, Florida","B01003_001",12563,NA
"12045","Gulf County, Florida","B01003_001",15131,NA
"12047","Hamilton County, Florida","B01003_001",13616,NA
"12049","Hardee County, Florida","B01003_001",25675,NA
"12051","Hendry County, Florida","B01003_001",42382,NA
"12053","Hernando County, Florida","B01003_001",207018,NA
"12055","Highlands County, Florida","B01003_001",105702,NA
"12057","Hillsborough County, Florida","B01003_001",1522748,NA
"12059","Holmes County, Florida","B01003_001",19513,NA
"12061","Indian River County, Florida","B01003_001",166936,NA
"12063","Jackson County, Florida","B01003_001",48250,NA
"12065","Jefferson County, Florida","B01003_001",15091,NA
"12067","Lafayette County, Florida","B01003_001",8161,NA
"12069","Lake County, Florida","B01003_001",412924,NA
"12071","Lee County, Florida","B01003_001",817666,NA
"12073","Leon County, Florida","B01003_001",297542,NA
"12075","Levy County, Florida","B01003_001",45391,NA
"12077","Liberty County, Florida","B01003_001",7687,NA
"12079","Madison County, Florida","B01003_001",18089,NA
"12081","Manatee County, Florida","B01003_001",429792,NA
"12083","Marion County, Florida","B01003_001",400078,NA
"12085","Martin County, Florida","B01003_001",162176,NA
"12086","Miami-Dade County, Florida","B01003_001",2738356,NA
"12087","Monroe County, Florida","B01003_001",81860,NA
"12089","Nassau County, Florida","B01003_001",97859,NA
"12091","Okaloosa County, Florida","B01003_001",216599,NA
"12093","Okeechobee County, Florida","B01003_001",40816,NA
"12095","Orange County, Florida","B01003_001",1471937,NA
"12097","Osceola County, Florida","B01003_001",427415,NA
"12099","Palm Beach County, Florida","B01003_001",1533806,NA
"12101","Pasco County, Florida","B01003_001",611444,NA
"12103","Pinellas County, Florida","B01003_001",963481,NA
"12105","Polk County, Florida","B01003_001",790694,NA
"12107","Putnam County, Florida","B01003_001",75164,NA
"12109","St. Johns County, Florida","B01003_001",306934,NA
"12111","St. Lucie County, Florida","B01003_001",360500,NA
"12113","Santa Rosa County, Florida","B01003_001",198472,NA
"12115","Sarasota County, Florida","B01003_001",459547,NA
"12117","Seminole County, Florida","B01003_001",481470,NA
"12119","Sumter County, Florida","B01003_001",143408,NA
"12121","Suwannee County, Florida","B01003_001",45342,NA
"12123","Taylor County, Florida","B01003_001",21503,NA
"12125","Union County, Florida","B01003_001",15701,NA
"12127","Volusia County, Florida","B01003_001",579622,NA
"12129","Wakulla County, Florida","B01003_001",35387,NA
"12131","Walton County, Florida","B01003_001",82948,NA
"12133","Washington County, Florida","B01003_001",25529,NA
"13001","Appling County, Georgia","B01003_001",18493,NA
"13003","Atkinson County, Georgia","B01003_001",8337,NA
"13005","Bacon County, Georgia","B01003_001",11109,NA
"13007","Baker County, Georgia","B01003_001",2790,NA
"13009","Baldwin County, Georgia","B01003_001",43642,NA
"13011","Banks County, Georgia","B01003_001",19264,NA
"13013","Barrow County, Georgia","B01003_001",89886,NA
"13015","Bartow County, Georgia","B01003_001",113113,NA
"13017","Ben Hill County, Georgia","B01003_001",17089,NA
"13019","Berrien County, Georgia","B01003_001",18352,NA
"13021","Bibb County, Georgia","B01003_001",156578,NA
"13023","Bleckley County, Georgia","B01003_001",12430,NA
"13025","Brantley County, Georgia","B01003_001",18315,NA
"13027","Brooks County, Georgia","B01003_001",16293,NA
"13029","Bryan County, Georgia","B01003_001",48263,NA
"13031","Bulloch County, Georgia","B01003_001",82683,NA
"13033","Burke County, Georgia","B01003_001",24470,NA
"13035","Butts County, Georgia","B01003_001",26496,NA
"13037","Calhoun County, Georgia","B01003_001",5498,NA
"13039","Camden County, Georgia","B01003_001",56970,NA
"13043","Candler County, Georgia","B01003_001",11043,NA
"13045","Carroll County, Georgia","B01003_001",124569,NA
"13047","Catoosa County, Georgia","B01003_001",68634,NA
"13049","Charlton County, Georgia","B01003_001",12818,NA
"13051","Chatham County, Georgia","B01003_001",300879,NA
"13053","Chattahoochee County, Georgia","B01003_001",8887,NA
"13055","Chattooga County, Georgia","B01003_001",25036,NA
"13057","Cherokee County, Georgia","B01003_001",281032,NA
"13059","Clarke County, Georgia","B01003_001",129609,NA
"13061","Clay County, Georgia","B01003_001",2850,NA
"13063","Clayton County, Georgia","B01003_001",298924,NA
"13065","Clinch County, Georgia","B01003_001",6759,NA
"13067","Cobb County, Georgia","B01003_001",775208,NA
"13069","Coffee County, Georgia","B01003_001",43347,NA
"13071","Colquitt County, Georgia","B01003_001",46224,NA
"13073","Columbia County, Georgia","B01003_001",162434,NA
"13075","Cook County, Georgia","B01003_001",17532,NA
"13077","Coweta County, Georgia","B01003_001",152852,NA
"13079","Crawford County, Georgia","B01003_001",12225,NA
"13081","Crisp County, Georgia","B01003_001",19790,NA
"13083","Dade County, Georgia","B01003_001",16165,NA
"13085","Dawson County, Georgia","B01003_001",30242,NA
"13087","Decatur County, Georgia","B01003_001",29195,NA
"13089","DeKalb County, Georgia","B01003_001",765351,NA
"13091","Dodge County, Georgia","B01003_001",19805,NA
"13093","Dooly County, Georgia","B01003_001",10984,NA
"13095","Dougherty County, Georgia","B01003_001",83091,NA
"13097","Douglas County, Georgia","B01003_001",147888,NA
"13099","Early County, Georgia","B01003_001",10603,NA
"13101","Echols County, Georgia","B01003_001",3709,NA
"13103","Effingham County, Georgia","B01003_001",69143,NA
"13105","Elbert County, Georgia","B01003_001",19849,NA
"13107","Emanuel County, Georgia","B01003_001",23026,NA
"13109","Evans County, Georgia","B01003_001",10757,NA
"13111","Fannin County, Georgia","B01003_001",25742,NA
"13113","Fayette County, Georgia","B01003_001",122244,NA
"13115","Floyd County, Georgia","B01003_001",99693,NA
"13117","Forsyth County, Georgia","B01003_001",267287,NA
"13119","Franklin County, Georgia","B01003_001",24234,NA
"13121","Fulton County, Georgia","B01003_001",1076561,NA
"13123","Gilmer County, Georgia","B01003_001",32426,NA
"13125","Glascock County, Georgia","B01003_001",2932,NA
"13127","Glynn County, Georgia","B01003_001",85447,NA
"13129","Gordon County, Georgia","B01003_001",59100,NA
"13131","Grady County, Georgia","B01003_001",26108,NA
"13133","Greene County, Georgia","B01003_001",20109,NA
"13135","Gwinnett County, Georgia","B01003_001",979864,NA
"13137","Habersham County, Georgia","B01003_001",47793,NA
"13139","Hall County, Georgia","B01003_001",212705,NA
"13141","Hancock County, Georgia","B01003_001",8650,NA
"13143","Haralson County, Georgia","B01003_001",31285,NA
"13145","Harris County, Georgia","B01003_001",36086,NA
"13147","Hart County, Georgia","B01003_001",26939,NA
"13149","Heard County, Georgia","B01003_001",11773,NA
"13151","Henry County, Georgia","B01003_001",249960,NA
"13153","Houston County, Georgia","B01003_001",169649,NA
"13155","Irwin County, Georgia","B01003_001",9285,NA
"13157","Jackson County, Georgia","B01003_001",84757,NA
"13159","Jasper County, Georgia","B01003_001",15929,NA
"13161","Jeff Davis County, Georgia","B01003_001",14924,NA
"13163","Jefferson County, Georgia","B01003_001",15341,NA
"13165","Jenkins County, Georgia","B01003_001",8711,NA
